plan,switches,total_price,full_price,preferred_nights,segment_detail,label,equivalent_alternatives,warning
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 8) → Room 8 (Jul 8–Jul 17),4,2161.25,3325.0,23,Room 8: 3 nights × avg £75.00 = £225.00 | Room 9: 8 nights × avg £98.12 = £785.00 | Room 8: 3 nights × avg £143.33 = £430.00 | Room 6: 7 nights × avg £123.57 = £865.00 | Room 8: 9 nights × avg £113.33 = £1020.00,fewest switches,,UNALLOCATED bookings overlap this range (7)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 7) → Room 8 (Jul 7–Jul 17),4,2177.5,3350.0,24,Room 8: 3 nights × avg £75.00 = £225.00 | Room 9: 8 nights × avg £98.12 = £785.00 | Room 8: 3 nights × avg £143.33 = £430.00 | Room 6: 6 nights × avg £124.17 = £745.00 | Room 8: 10 nights × avg £116.50 = £1165.00,fewest switches,Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 2) → Room 6 (Jul 2–Jul 8) → Room 8 (Jul 8–Jul 17),UNALLOCATED bookings overlap this range (7)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 17),4,2190.5,3370.0,25,Room 8: 3 nights × avg £75.00 = £225.00 | Room 9: 8 nights × avg £98.12 = £785.00 | Room 8: 3 nights × avg £143.33 = £430.00 | Room 6: 5 nights × avg £124.00 = £620.00 | Room 8: 11 nights × avg £119.09 = £1310.00,fewest switches,,UNALLOCATED bookings overlap this range (7)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 5) → Room 8 (Jul 5–Jul 17),4,2203.5,3390.0,26,Room 8: 3 nights × avg £75.00 = £225.00 | Room 9: 8 nights × avg £98.12 = £785.00 | Room 8: 3 nights × avg £143.33 = £430.00 | Room 6: 4 nights × avg £123.75 = £495.00 | Room 8: 12 nights × avg £121.25 = £1455.00,fewest switches,,UNALLOCATED bookings overlap this range (7)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 4) → Room 8 (Jul 4–Jul 17),4,2219.75,3415.0,27,Room 8: 3 nights × avg £75.00 = £225.00 | Room 9: 8 nights × avg £98.12 = £785.00 | Room 8: 3 nights × avg £143.33 = £430.00 | Room 6: 3 nights × avg £125.00 = £375.00 | Room 8: 13 nights × avg £123.08 = £1600.00,fewest switches,Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 2) → Room 6 (Jul 2–Jul 5) → Room 8 (Jul 5–Jul 17),UNALLOCATED bookings overlap this range (7)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 17),4,2245.75,3455.0,30,Room 8: 3 nights × avg £75.00 = £225.00 | Room 9: 8 nights × avg £98.12 = £785.00 | Room 8: 3 nights × avg £143.33 = £430.00 | Room 3: 5 nights × avg £141.00 = £705.00 | Room 8: 11 nights × avg £119.09 = £1310.00,"fewest switches, most preferred nights",,UNALLOCATED bookings overlap this range (7)
Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 17),5,2161.25,3325.0,30,Room 8: 3 nights × avg £75.00 = £225.00 | Room 3: 4 nights × avg £73.75 = £295.00 | Room 2: 4 nights × avg £90.00 = £360.00 | Room 8: 3 nights × avg £143.33 = £430.00 | Room 3: 5 nights × avg £141.00 = £705.00 | Room 8: 11 nights × avg £119.09 = £1310.00,most preferred nights,,UNALLOCATED bookings overlap this range (7)
Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 10) → Room 3 (Jul 10–Jul 17),6,2141.75,3295.0,30,Room 8: 3 nights × avg £75.00 = £225.00 | Room 3: 4 nights × avg £73.75 = £295.00 | Room 2: 4 nights × avg £90.00 = £360.00 | Room 8: 3 nights × avg £143.33 = £430.00 | Room 3: 5 nights × avg £141.00 = £705.00 | Room 8: 4 nights × avg £141.25 = £565.00 | Room 3: 7 nights × avg £102.14 = £715.00,most preferred nights,,UNALLOCATED bookings overlap this range (7)
Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 23) → Room 5 (Jun 23–Jun 27) → Room 2 (Jun 27–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 7) → Room 8 (Jul 7–Jul 10) → Room 6 (Jul 10–Jul 17),7,1982.5,3050.0,13,Room 8: 3 nights × avg £75.00 = £225.00 | Room 3: 3 nights × avg £73.33 = £220.00 | Room 5: 4 nights × avg £72.50 = £290.00 | Room 2: 1 night × avg £105.00 = £105.00 | Room 8: 3 nights × avg £143.33 = £430.00 | Room 6: 6 nights × avg £124.17 = £745.00 | Room 8: 3 nights × avg £140.00 = £420.00 | Room 6: 7 nights × avg £87.86 = £615.00,cheapest,Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 23) → Room 5 (Jun 23–Jun 27) → Room 2 (Jun 27–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 8) → Room 8 (Jul 8–Jul 11) → Room 6 (Jul 11–Jul 17),UNALLOCATED bookings overlap this range (7)
Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 8) → Room 8 (Jul 8–Jul 17),5,2076.75,3195.0,23,Room 8: 3 nights × avg £75.00 = £225.00 | Room 3: 4 nights × avg £73.75 = £295.00 | Room 2: 4 nights × avg £90.00 = £360.00 | Room 8: 3 nights × avg £143.33 = £430.00 | Room 6: 7 nights × avg £123.57 = £865.00 | Room 8: 9 nights × avg £113.33 = £1020.00,,,UNALLOCATED bookings overlap this range (7)
Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 7) → Room 8 (Jul 7–Jul 17),5,2093.0,3220.0,24,Room 8: 3 nights × avg £75.00 = £225.00 | Room 3: 4 nights × avg £73.75 = £295.00 | Room 2: 4 nights × avg £90.00 = £360.00 | Room 8: 3 nights × avg £143.33 = £430.00 | Room 6: 6 nights × avg £124.17 = £745.00 | Room 8: 10 nights × avg £116.50 = £1165.00,,Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 2) → Room 6 (Jul 2–Jul 8) → Room 8 (Jul 8–Jul 17),UNALLOCATED bookings overlap this range (7)
Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 17),5,2106.0,3240.0,25,Room 8: 3 nights × avg £75.00 = £225.00 | Room 3: 4 nights × avg £73.75 = £295.00 | Room 2: 4 nights × avg £90.00 = £360.00 | Room 8: 3 nights × avg £143.33 = £430.00 | Room 6: 5 nights × avg £124.00 = £620.00 | Room 8: 11 nights × avg £119.09 = £1310.00,,,UNALLOCATED bookings overlap this range (7)
Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 5) → Room 8 (Jul 5–Jul 17),5,2119.0,3260.0,26,Room 8: 3 nights × avg £75.00 = £225.00 | Room 3: 4 nights × avg £73.75 = £295.00 | Room 2: 4 nights × avg £90.00 = £360.00 | Room 8: 3 nights × avg £143.33 = £430.00 | Room 6: 4 nights × avg £123.75 = £495.00 | Room 8: 12 nights × avg £121.25 = £1455.00,,,UNALLOCATED bookings overlap this range (7)
Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 4) → Room 8 (Jul 4–Jul 17),5,2135.25,3285.0,27,Room 8: 3 nights × avg £75.00 = £225.00 | Room 3: 4 nights × avg £73.75 = £295.00 | Room 2: 4 nights × avg £90.00 = £360.00 | Room 8: 3 nights × avg £143.33 = £430.00 | Room 6: 3 nights × avg £125.00 = £375.00 | Room 8: 13 nights × avg £123.08 = £1600.00,,Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 2) → Room 6 (Jul 2–Jul 5) → Room 8 (Jul 5–Jul 17),UNALLOCATED bookings overlap this range (7)
Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 7) → Room 8 (Jul 7–Jul 10) → Room 6 (Jul 10–Jul 17),6,2008.5,3090.0,17,Room 8: 3 nights × avg £75.00 = £225.00 | Room 3: 4 nights × avg £73.75 = £295.00 | Room 2: 4 nights × avg £90.00 = £360.00 | Room 8: 3 nights × avg £143.33 = £430.00 | Room 6: 6 nights × avg £124.17 = £745.00 | Room 8: 3 nights × avg £140.00 = £420.00 | Room 6: 7 nights × avg £87.86 = £615.00,,Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 8) → Room 8 (Jul 8–Jul 11) → Room 6 (Jul 11–Jul 17),UNALLOCATED bookings overlap this range (7)
Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 10) → Room 6 (Jul 10–Jul 17),6,2021.5,3110.0,18,Room 8: 3 nights × avg £75.00 = £225.00 | Room 3: 4 nights × avg £73.75 = £295.00 | Room 2: 4 nights × avg £90.00 = £360.00 | Room 8: 3 nights × avg £143.33 = £430.00 | Room 6: 5 nights × avg £124.00 = £620.00 | Room 8: 4 nights × avg £141.25 = £565.00 | Room 6: 7 nights × avg £87.86 = £615.00,,,UNALLOCATED bookings overlap this range (7)
Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 5) → Room 8 (Jul 5–Jul 10) → Room 6 (Jul 10–Jul 17),6,2034.5,3130.0,19,Room 8: 3 nights × avg £75.00 = £225.00 | Room 3: 4 nights × avg £73.75 = £295.00 | Room 2: 4 nights × avg £90.00 = £360.00 | Room 8: 3 nights × avg £143.33 = £430.00 | Room 6: 4 nights × avg £123.75 = £495.00 | Room 8: 5 nights × avg £142.00 = £710.00 | Room 6: 7 nights × avg £87.86 = £615.00,,,UNALLOCATED bookings overlap this range (7)
Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 8) → Room 8 (Jul 8–Jul 14) → Room 6 (Jul 14–Jul 17),6,2047.5,3150.0,20,Room 8: 3 nights × avg £75.00 = £225.00 | Room 3: 4 nights × avg £73.75 = £295.00 | Room 2: 4 nights × avg £90.00 = £360.00 | Room 8: 3 nights × avg £143.33 = £430.00 | Room 6: 7 nights × avg £123.57 = £865.00 | Room 8: 6 nights × avg £124.17 = £745.00 | Room 6: 3 nights × avg £76.67 = £230.00,,,UNALLOCATED bookings overlap this range (7)
