plan,switches,total_price,full_price,nights_private_bathroom,nights_private_bath_and_kitchen,segment_detail,label,equivalent_alternatives,warning
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Aug 12),3,3856.0,5870.0,50,9,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 38 nights × avg £106.18, 35% off = £2622.75",fewest switches,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 7 (Jun 29–Jul 4) → Room 8 (Jul 4–Aug 12),3,3875.45,5905.0,51,9,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 7: 5 nights × avg £113.00, 32% off = £384.20 | Room 8: 39 nights × avg £107.18, 35% off = £2717.00",fewest switches,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Aug 12),4,4002.85,6035.0,56,8,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 8 nights × avg £98.12, 35% off = £510.25 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 3: 5 nights × avg £141.00, 32% off = £479.40 | Room 8: 37 nights × avg £105.14, 35% off = £2528.50",most private bathroom nights,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 8 (Jun 29–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Aug 12),4,4022.15,6055.0,56,9,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 8: 2 nights × avg £150.00, 20% off = £240.00 | Room 3: 5 nights × avg £141.00, 32% off = £479.40 | Room 8: 37 nights × avg £105.14, 35% off = £2528.50",most private bathroom nights,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 13) → Room 3 (Jul 13–Aug 12),5,3921.6,5910.0,56,8,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 8 nights × avg £98.12, 35% off = £510.25 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 3: 5 nights × avg £141.00, 32% off = £479.40 | Room 8: 7 nights × avg £135.00, 35% off = £614.25 | Room 3: 30 nights × avg £94.00, 35% off = £1833.00",most private bathroom nights,Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 14) → Room 3 (Jul 14–Aug 12); Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 15) → Room 3 (Jul 15–Aug 12),UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 8 (Jun 29–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 13) → Room 3 (Jul 13–Aug 12),5,3940.9,5930.0,56,9,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 8: 2 nights × avg £150.00, 20% off = £240.00 | Room 3: 5 nights × avg £141.00, 32% off = £479.40 | Room 8: 7 nights × avg £135.00, 35% off = £614.25 | Room 3: 30 nights × avg £94.00, 35% off = £1833.00",most private bathroom nights,Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 8 (Jun 29–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 14) → Room 3 (Jul 14–Aug 12); Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 8 (Jun 29–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 15) → Room 3 (Jul 15–Aug 12),UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Aug 10) → Room 9 (Aug 10–Aug 12),5,4052.1,6060.0,56,10,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 8 nights × avg £98.12, 35% off = £510.25 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 3: 5 nights × avg £141.00, 32% off = £479.40 | Room 8: 35 nights × avg £105.57, 35% off = £2401.75 | Room 9: 2 nights × avg £110.00, 20% off = £176.00",most private bathroom nights,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Aug 9) → Room 9 (Aug 9–Aug 12),5,4059.45,6075.0,56,11,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 8 nights × avg £98.12, 35% off = £510.25 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 3: 5 nights × avg £141.00, 32% off = £479.40 | Room 8: 34 nights × avg £105.59, 35% off = £2333.50 | Room 9: 3 nights × avg £113.33, 26% off = £251.60",most private bathroom nights,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Aug 7) → Room 9 (Aug 7–Aug 12),5,4066.2,6105.0,56,13,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 8 nights × avg £98.12, 35% off = £510.25 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 3: 5 nights × avg £141.00, 32% off = £479.40 | Room 8: 32 nights × avg £105.16, 35% off = £2187.25 | Room 9: 5 nights × avg £119.00, 32% off = £404.60",most private bathroom nights,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 3 (Jul 1–Jul 6) → Room 8 (Jul 6–Aug 5) → Room 9 (Aug 5–Aug 12),5,4067.85,6135.0,56,15,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 8 nights × avg £98.12, 35% off = £510.25 | Room 8: 3 nights × avg £143.33, 26% off = £318.20 | Room 3: 5 nights × avg £141.00, 32% off = £479.40 | Room 8: 30 nights × avg £105.50, 35% off = £2057.25 | Room 9: 7 nights × avg £117.86, 35% off = £536.25",most private bathroom nights,,UNALLOCATED bookings overlap this range (9)
