plan,switches,total_price,full_price,preferred_nights,segment_detail,label,equivalent_alternatives,warning
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 7) → Room 8 (Jul 7–Jul 10) → Room 6 (Jul 10–Aug 17),5,3786.25,5825.0,17,Room 8: 3 nights × avg £75.00 = £225.00 | Room 9: 8 nights × avg £98.12 = £785.00 | Room 8: 3 nights × avg £143.33 = £430.00 | Room 6: 6 nights × avg £124.17 = £745.00 | Room 8: 3 nights × avg £140.00 = £420.00 | Room 6: 38 nights × avg £84.74 = £3220.00,fewest switches,Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 8) → Room 8 (Jul 8–Jul 11) → Room 6 (Jul 11–Aug 17),UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 10) → Room 6 (Jul 10–Aug 17),5,3799.25,5845.0,18,Room 8: 3 nights × avg £75.00 = £225.00 | Room 9: 8 nights × avg £98.12 = £785.00 | Room 8: 3 nights × avg £143.33 = £430.00 | Room 6: 5 nights × avg £124.00 = £620.00 | Room 8: 4 nights × avg £141.25 = £565.00 | Room 6: 38 nights × avg £84.74 = £3220.00,fewest switches,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 23) → Room 5 (Jun 23–Jun 27) → Room 2 (Jun 27–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 7) → Room 8 (Jul 7–Jul 10) → Room 6 (Jul 10–Aug 17),7,3675.75,5655.0,13,Room 8: 3 nights × avg £75.00 = £225.00 | Room 3: 3 nights × avg £73.33 = £220.00 | Room 5: 4 nights × avg £72.50 = £290.00 | Room 2: 1 night × avg £105.00 = £105.00 | Room 8: 3 nights × avg £143.33 = £430.00 | Room 6: 6 nights × avg £124.17 = £745.00 | Room 8: 3 nights × avg £140.00 = £420.00 | Room 6: 38 nights × avg £84.74 = £3220.00,cheapest,Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 23) → Room 5 (Jun 23–Jun 27) → Room 2 (Jun 27–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 8) → Room 8 (Jul 8–Jul 11) → Room 6 (Jul 11–Aug 17),UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 7) → Room 8 (Jul 7–Jul 10) → Room 6 (Jul 10–Jul 20) → Room 3 (Jul 20–Jul 30) → Room 5 (Jul 30–Aug 10) → Room 2 (Aug 10–Aug 17),9,3828.5,5890.0,34,Room 8: 3 nights × avg £75.00 = £225.00 | Room 3: 4 nights × avg £73.75 = £295.00 | Room 2: 4 nights × avg £90.00 = £360.00 | Room 8: 3 nights × avg £143.33 = £430.00 | Room 6: 6 nights × avg £124.17 = £745.00 | Room 8: 3 nights × avg £140.00 = £420.00 | Room 6: 10 nights × avg £86.00 = £860.00 | Room 3: 10 nights × avg £91.00 = £910.00 | Room 5: 11 nights × avg £85.00 = £935.00 | Room 2: 7 nights × avg £101.43 = £710.00,most preferred nights,Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 7) → Room 8 (Jul 7–Jul 10) → Room 6 (Jul 10–Jul 20) → Room 3 (Jul 20–Jul 30) → Room 6 (Jul 30–Aug 10) → Room 2 (Aug 10–Aug 17); Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 7) → Room 8 (Jul 7–Jul 10) → Room 6 (Jul 10–Jul 20) → Room 3 (Jul 20–Jul 31) → Room 5 (Jul 31–Aug 11) → Room 2 (Aug 11–Aug 17); Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 7) → Room 8 (Jul 7–Jul 10) → Room 6 (Jul 10–Jul 20) → Room 3 (Jul 20–Jul 30) → Room 5 (Jul 30–Aug 10) → Room 3 (Aug 10–Aug 17); Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 7) → Room 8 (Jul 7–Jul 10) → Room 6 (Jul 10–Jul 20) → Room 3 (Jul 20–Jul 30) → Room 6 (Jul 30–Aug 10) → Room 3 (Aug 10–Aug 17); Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 7) → Room 8 (Jul 7–Jul 10) → Room 6 (Jul 10–Jul 20) → Room 3 (Jul 20–Jul 31) → Room 5 (Jul 31–Aug 11) → Room 3 (Aug 11–Aug 17),UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 7) → Room 8 (Jul 7–Jul 10) → Room 6 (Jul 10–Jul 20) → Room 3 (Jul 20–Jul 27) → Room 6 (Jul 27–Aug 1) → Room 2 (Aug 1–Aug 4) → Room 5 (Aug 4–Aug 10) → Room 2 (Aug 10–Aug 17),11,3825.25,5885.0,34,Room 8: 3 nights × avg £75.00 = £225.00 | Room 3: 4 nights × avg £73.75 = £295.00 | Room 2: 4 nights × avg £90.00 = £360.00 | Room 8: 3 nights × avg £143.33 = £430.00 | Room 6: 6 nights × avg £124.17 = £745.00 | Room 8: 3 nights × avg £140.00 = £420.00 | Room 6: 10 nights × avg £86.00 = £860.00 | Room 3: 7 nights × avg £90.00 = £630.00 | Room 6: 5 nights × avg £81.00 = £405.00 | Room 2: 3 nights × avg £95.00 = £285.00 | Room 5: 6 nights × avg £86.67 = £520.00 | Room 2: 7 nights × avg £101.43 = £710.00,most preferred nights,Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 7) → Room 8 (Jul 7–Jul 10) → Room 6 (Jul 10–Jul 20) → Room 3 (Jul 20–Jul 27) → Room 6 (Jul 27–Aug 1) → Room 2 (Aug 1–Aug 4) → Room 6 (Aug 4–Aug 10) → Room 2 (Aug 10–Aug 17); Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 7) → Room 8 (Jul 7–Jul 10) → Room 6 (Jul 10–Jul 20) → Room 3 (Jul 20–Jul 27) → Room 6 (Jul 27–Aug 2) → Room 2 (Aug 2–Aug 6) → Room 5 (Aug 6–Aug 11) → Room 2 (Aug 11–Aug 17); Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 7) → Room 8 (Jul 7–Jul 10) → Room 6 (Jul 10–Jul 20) → Room 3 (Jul 20–Jul 27) → Room 6 (Jul 27–Aug 1) → Room 2 (Aug 1–Aug 4) → Room 5 (Aug 4–Aug 10) → Room 3 (Aug 10–Aug 17); Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 7) → Room 8 (Jul 7–Jul 10) → Room 6 (Jul 10–Jul 20) → Room 3 (Jul 20–Jul 27) → Room 6 (Jul 27–Aug 1) → Room 2 (Aug 1–Aug 4) → Room 6 (Aug 4–Aug 10) → Room 3 (Aug 10–Aug 17); Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 7) → Room 8 (Jul 7–Jul 10) → Room 6 (Jul 10–Jul 20) → Room 3 (Jul 20–Jul 27) → Room 6 (Jul 27–Aug 2) → Room 2 (Aug 2–Aug 6) → Room 5 (Aug 6–Aug 11) → Room 3 (Aug 11–Aug 17),UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 7) → Room 8 (Jul 7–Jul 10) → Room 6 (Jul 10–Aug 17),6,3701.75,5695.0,17,Room 8: 3 nights × avg £75.00 = £225.00 | Room 3: 4 nights × avg £73.75 = £295.00 | Room 2: 4 nights × avg £90.00 = £360.00 | Room 8: 3 nights × avg £143.33 = £430.00 | Room 6: 6 nights × avg £124.17 = £745.00 | Room 8: 3 nights × avg £140.00 = £420.00 | Room 6: 38 nights × avg £84.74 = £3220.00,,Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 8) → Room 8 (Jul 8–Jul 11) → Room 6 (Jul 11–Aug 17),UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 6) → Room 8 (Jul 6–Jul 10) → Room 6 (Jul 10–Aug 17),6,3714.75,5715.0,18,Room 8: 3 nights × avg £75.00 = £225.00 | Room 3: 4 nights × avg £73.75 = £295.00 | Room 2: 4 nights × avg £90.00 = £360.00 | Room 8: 3 nights × avg £143.33 = £430.00 | Room 6: 5 nights × avg £124.00 = £620.00 | Room 8: 4 nights × avg £141.25 = £565.00 | Room 6: 38 nights × avg £84.74 = £3220.00,,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 5) → Room 8 (Jul 5–Jul 10) → Room 6 (Jul 10–Aug 17),6,3727.75,5735.0,19,Room 8: 3 nights × avg £75.00 = £225.00 | Room 3: 4 nights × avg £73.75 = £295.00 | Room 2: 4 nights × avg £90.00 = £360.00 | Room 8: 3 nights × avg £143.33 = £430.00 | Room 6: 4 nights × avg £123.75 = £495.00 | Room 8: 5 nights × avg £142.00 = £710.00 | Room 6: 38 nights × avg £84.74 = £3220.00,,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 8) → Room 8 (Jul 8–Jul 14) → Room 6 (Jul 14–Aug 17),6,3740.75,5755.0,20,Room 8: 3 nights × avg £75.00 = £225.00 | Room 3: 4 nights × avg £73.75 = £295.00 | Room 2: 4 nights × avg £90.00 = £360.00 | Room 8: 3 nights × avg £143.33 = £430.00 | Room 6: 7 nights × avg £123.57 = £865.00 | Room 8: 6 nights × avg £124.17 = £745.00 | Room 6: 34 nights × avg £83.38 = £2835.00,,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 24) → Room 2 (Jun 24–Jun 28) → Room 8 (Jun 28–Jul 1) → Room 6 (Jul 1–Jul 8) → Room 8 (Jul 8–Jul 15) → Room 6 (Jul 15–Aug 17),6,3750.5,5770.0,21,Room 8: 3 nights × avg £75.00 = £225.00 | Room 3: 4 nights × avg £73.75 = £295.00 | Room 2: 4 nights × avg £90.00 = £360.00 | Room 8: 3 nights × avg £143.33 = £430.00 | Room 6: 7 nights × avg £123.57 = £865.00 | Room 8: 7 nights × avg £119.29 = £835.00 | Room 6: 33 nights × avg £83.64 = £2760.00,,,UNALLOCATED bookings overlap this range (9)
