plan,switches,total_price,full_price,preferred_nights,segment_detail,label,equivalent_alternatives,warning
Room 6 (Jul 19–Aug 26),0,2128.75,3275.0,0,Room 6: 38 nights × avg £86.18 = £3275.00,"cheapest, fewest switches",,UNALLOCATED bookings overlap this range (4)
Room 3 (Jul 19–Jul 27) → Room 6 (Jul 27–Aug 2) → Room 2 (Aug 2–Aug 15) → Room 5 (Aug 15–Aug 23) → Room 2 (Aug 23–Aug 26),4,2307.5,3550.0,24,Room 3: 8 nights × avg £90.00 = £720.00 | Room 6: 6 nights × avg £82.50 = £495.00 | Room 2: 13 nights × avg £98.08 = £1275.00 | Room 5: 8 nights × avg £95.62 = £765.00 | Room 2: 3 nights × avg £98.33 = £295.00,most preferred nights,Room 3 (Jul 19–Jul 27) → Room 6 (Jul 27–Aug 2) → Room 2 (Aug 2–Aug 15) → Room 6 (Aug 15–Aug 23) → Room 2 (Aug 23–Aug 26),UNALLOCATED bookings overlap this range (4)
Room 3 (Jul 19–Jul 26) → Room 6 (Jul 26–Jul 29) → Room 2 (Jul 29–Aug 7) → Room 5 (Aug 7–Aug 10) → Room 2 (Aug 10–Aug 15) → Room 5 (Aug 15–Aug 23) → Room 2 (Aug 23–Aug 26),6,2304.25,3545.0,24,Room 3: 7 nights × avg £90.00 = £630.00 | Room 6: 3 nights × avg £78.33 = £235.00 | Room 2: 9 nights × avg £95.00 = £855.00 | Room 5: 3 nights × avg £90.00 = £270.00 | Room 2: 5 nights × avg £99.00 = £495.00 | Room 5: 8 nights × avg £95.62 = £765.00 | Room 2: 3 nights × avg £98.33 = £295.00,most preferred nights,Room 3 (Jul 19–Jul 26) → Room 6 (Jul 26–Jul 29) → Room 2 (Jul 29–Aug 7) → Room 5 (Aug 7–Aug 10) → Room 2 (Aug 10–Aug 15) → Room 6 (Aug 15–Aug 23) → Room 2 (Aug 23–Aug 26),UNALLOCATED bookings overlap this range (4)
Room 6 (Jul 19–Aug 25) → Room 2 (Aug 25–Aug 26),1,2138.5,3290.0,1,Room 6: 37 nights × avg £86.22 = £3190.00 | Room 2: 1 night × avg £100.00 = £100.00,,Room 6 (Jul 19–Aug 25) → Room 3 (Aug 25–Aug 26),UNALLOCATED bookings overlap this range (4)
Room 6 (Jul 19–Aug 24) → Room 2 (Aug 24–Aug 26),1,2145.0,3300.0,2,Room 6: 36 nights × avg £86.25 = £3105.00 | Room 2: 2 nights × avg £97.50 = £195.00,,Room 6 (Jul 19–Aug 24) → Room 3 (Aug 24–Aug 26),UNALLOCATED bookings overlap this range (4)
Room 6 (Jul 19–Aug 23) → Room 2 (Aug 23–Aug 26),1,2151.5,3310.0,3,Room 6: 35 nights × avg £86.14 = £3015.00 | Room 2: 3 nights × avg £98.33 = £295.00,,Room 6 (Jul 19–Aug 23) → Room 3 (Aug 23–Aug 26); Room 3 (Jul 19–Jul 22) → Room 6 (Jul 22–Aug 26),UNALLOCATED bookings overlap this range (4)
Room 3 (Jul 19–Jul 23) → Room 6 (Jul 23–Aug 26),1,2158.0,3320.0,4,Room 3: 4 nights × avg £88.75 = £355.00 | Room 6: 34 nights × avg £87.21 = £2965.00,,,UNALLOCATED bookings overlap this range (4)
Room 3 (Jul 19–Jul 24) → Room 6 (Jul 24–Aug 26),1,2164.5,3330.0,5,Room 3: 5 nights × avg £88.00 = £440.00 | Room 6: 33 nights × avg £87.58 = £2890.00,,,UNALLOCATED bookings overlap this range (4)
Room 3 (Jul 19–Jul 25) → Room 6 (Jul 25–Aug 26),1,2171.0,3340.0,6,Room 3: 6 nights × avg £89.17 = £535.00 | Room 6: 32 nights × avg £87.66 = £2805.00,,,UNALLOCATED bookings overlap this range (4)
Room 3 (Jul 19–Jul 26) → Room 6 (Jul 26–Aug 26),1,2177.5,3350.0,7,Room 3: 7 nights × avg £90.00 = £630.00 | Room 6: 31 nights × avg £87.74 = £2720.00,,,UNALLOCATED bookings overlap this range (4)
Room 3 (Jul 19–Jul 27) → Room 6 (Jul 27–Aug 26),1,2184.0,3360.0,8,Room 3: 8 nights × avg £90.00 = £720.00 | Room 6: 30 nights × avg £88.00 = £2640.00,,,UNALLOCATED bookings overlap this range (4)
Room 3 (Jul 19–Jul 28) → Room 6 (Jul 28–Aug 26),1,2193.75,3375.0,9,Room 3: 9 nights × avg £90.00 = £810.00 | Room 6: 29 nights × avg £88.45 = £2565.00,,,UNALLOCATED bookings overlap this range (4)
