plan,switches,total_price,full_price,preferred_nights,segment_detail,label,equivalent_alternatives,warning
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 21) → Room 7 (Jul 21–Aug 12),4,3501.75,5325.0,28,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 16 nights × avg £115.31, 35% off = £1199.25 | Room 7: 22 nights × avg £74.77, 35% off = £1069.25",fewest switches,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 22) → Room 7 (Jul 22–Aug 12),4,3518.0,5350.0,29,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 17 nights × avg £114.12, 35% off = £1261.00 | Room 7: 21 nights × avg £75.00, 35% off = £1023.75",fewest switches,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 23) → Room 7 (Jul 23–Aug 12),4,3534.25,5375.0,30,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 18 nights × avg £113.06, 35% off = £1322.75 | Room 7: 20 nights × avg £75.25, 35% off = £978.25",fewest switches,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 24) → Room 7 (Jul 24–Aug 12),4,3547.25,5395.0,31,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 19 nights × avg £111.84, 35% off = £1381.25 | Room 7: 19 nights × avg £75.53, 35% off = £932.75",fewest switches,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 7 (Jun 29–Jul 4) → Room 8 (Jul 4–Jul 11) → Room 3 (Jul 11–Jul 25) → Room 7 (Jul 25–Aug 11) → Room 9 (Aug 11–Aug 12),6,3613.45,5440.0,34,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 7: 5 nights × avg £113.00, 32% off = £384.20 | Room 8: 7 nights × avg £140.71, 35% off = £640.25 | Room 3: 14 nights × avg £95.00, 35% off = £864.50 | Room 7: 17 nights × avg £75.59, 35% off = £835.25 | Room 9: 1 night × avg £115.00, 0% off = £115.00",most preferred nights,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 3 (Jun 20–Jun 26) → Room 9 (Jun 26–Jun 29) → Room 7 (Jun 29–Jul 4) → Room 8 (Jul 4–Jul 11) → Room 3 (Jul 11–Jul 25) → Room 7 (Jul 25–Aug 11) → Room 9 (Aug 11–Aug 12),7,3603.7,5350.0,34,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 3: 6 nights × avg £75.83, 32% off = £309.40 | Room 9: 3 nights × avg £130.00, 26% off = £288.60 | Room 7: 5 nights × avg £113.00, 32% off = £384.20 | Room 8: 7 nights × avg £140.71, 35% off = £640.25 | Room 3: 14 nights × avg £95.00, 35% off = £864.50 | Room 7: 17 nights × avg £75.59, 35% off = £835.25 | Room 9: 1 night × avg £115.00, 0% off = £115.00",most preferred nights,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 7 (Jun 20–Jun 23) → Room 5 (Jun 23–Jun 27) → Room 9 (Jun 27–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 6 (Jul 5–Jul 8) → Room 11 (Jul 8–Jul 15) → Room 6 (Jul 15–Jul 22) → Room 7 (Jul 22–Aug 12),8,3296.4,4830.0,5,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 7: 3 nights × avg £58.33, 26% off = £129.50 | Room 5: 4 nights × avg £72.50, 26% off = £214.60 | Room 9: 2 nights × avg £137.50, 20% off = £220.00 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 6: 3 nights × avg £123.33, 26% off = £273.80 | Room 11: 7 nights × avg £98.57, 35% off = £448.50 | Room 6: 7 nights × avg £79.29, 35% off = £360.75 | Room 7: 21 nights × avg £75.00, 35% off = £1023.75",cheapest,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 10) → Room 6 (Jul 10–Jul 21) → Room 7 (Jul 21–Aug 12),5,3393.05,5125.0,17,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 5 nights × avg £142.00, 32% off = £482.80 | Room 6: 11 nights × avg £85.00, 35% off = £607.75 | Room 7: 22 nights × avg £74.77, 35% off = £1069.25",,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 12) → Room 6 (Jul 12–Jul 21) → Room 7 (Jul 21–Aug 12),5,3404.25,5175.0,19,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 7 nights × avg £138.57, 35% off = £630.50 | Room 6: 9 nights × avg £80.56, 35% off = £471.25 | Room 7: 22 nights × avg £74.77, 35% off = £1069.25",,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 13) → Room 6 (Jul 13–Jul 21) → Room 7 (Jul 21–Aug 12),5,3417.25,5195.0,20,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 8 nights × avg £136.25, 35% off = £708.50 | Room 6: 8 nights × avg £78.12, 35% off = £406.25 | Room 7: 22 nights × avg £74.77, 35% off = £1069.25",,,UNALLOCATED bookings overlap this range (9)
